source	line	method	path	route_class	safety_class	router_candidate	migration_priority	confirmation_required	notes
edge_controller.py	12304	POST	/system/ads/reward/claim	direct_application	user_content_write	no	not_planned	no	direct application route
edge_controller.py	12479	GET	/system/gpu/catalog	admin_system	infrastructure_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	12496	POST	/system/gpu/quote	admin_system	infrastructure_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	12599	POST	/system/gpu/reserve-quote	admin_system	infrastructure_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	12832	GET	/system/gpu/sessions	admin_system	infrastructure_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	12861	POST	/system/gpu/start-reserved	admin_system	infrastructure_write_confirmed	no	never_direct_router_execute	yes	guarded admin/system route
edge_controller.py	13039	POST	/system/gpu/stop-session	admin_system	infrastructure_write_confirmed	no	never_direct_router_execute	yes	guarded admin/system route
edge_controller.py	13245	POST	/system/gpu/cleanup-mock-session	admin_system	infrastructure_write_confirmed	no	never_direct_router_execute	yes	guarded admin/system route
edge_controller.py	13498	GET	/system/admin/users	admin_system	admin_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	13579	POST	/system/support/tickets	direct_application	user_content_write	no	not_planned	no	direct application route
edge_controller.py	13663	GET	/system/support/tickets	direct_application	read_only	no	not_planned	no	direct application route
edge_controller.py	13700	GET	/system/admin/support/tickets	admin_system	admin_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	13766	GET	/system/support/tickets/{ticket_id}/messages	direct_application	read_only	no	not_planned	no	direct application route
edge_controller.py	13818	POST	/system/support/tickets/{ticket_id}/messages	direct_application	user_content_write	no	not_planned	no	direct application route
edge_controller.py	14156	GET	/system/retention/dry-run	admin_system	infrastructure_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	14157	GET	/api/system/retention/dry-run	admin_system	infrastructure_read	no	never_direct_router_execute	no	guarded admin/system route
edge_controller.py	14169	POST	/system/session/presence	direct_application	user_content_write	no	not_planned	no	presence heartbeat route
edge_controller.py	14189	POST	/system/support/tickets/{ticket_id}/status	direct_application	user_content_write	no	not_planned	no	direct application route
edge_controller.py	14299	POST	/system/session/logout-safe	auth_security	auth_security	no	never_direct_router_execute	yes	authentication/security route
edge_controller.py	14467	POST	/api/presence/web	direct_application	user_content_write	no	not_planned	no	presence heartbeat route
edge_controller.py	14468	POST	/presence/web	direct_application	user_content_write	no	not_planned	no	presence heartbeat route
edge_controller.py	14470	POST	/system/presence/web	direct_application	user_content_write	no	not_planned	no	presence heartbeat route
edge_controller.py	14767	GET	/system/presence/power-policy	direct_application	read_only	no	not_planned	no	read-only status/account route
edge_controller.py	14951	POST	/system/presence/apply-power-policy	admin_system	admin_write_confirmed	no	never_direct_router_execute	yes	guarded admin/system route
edge_controller.py	15228	GET	/internal/laptop-queue/summary	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15270	POST	/internal/laptop-queue/synthetic/setup	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15342	POST	/internal/laptop-queue/jobs/claim	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15361	POST	/internal/laptop-queue/jobs/{job_id}/complete	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15387	POST	/internal/laptop-queue/synthetic/cleanup	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15477	POST	/internal/laptop-queue/workers/register	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15598	POST	/internal/laptop-queue/workers/heartbeat	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	15722	POST	/internal/laptop-queue/recover	internal_service	internal_worker_only	no	never_direct_router_execute	n/a	internal worker/queue service route
edge_controller.py	16162	GET	/api/chat/queue/status	direct_application	read_only	no	not_planned	no	read-only status/account route
edge_controller.py	16163	GET	/public/chat/queue/status	direct_application	read_only	no	not_planned	no	read-only status/account route
edge_controller.py	16523	POST	/api/chat/queued	router_candidate	user_content_write	yes	priority_1	no	natural-language or flexible command input
edge_controller.py	16698	GET	/api/chat/queued/{job_id}	direct_application	read_only	no	not_planned	no	direct application route
public_gateway.py	75	GET	/gateway/health	direct_application	read_only	no	not_planned	no	direct application route
public_gateway.py	201	GET	/system/status	direct_application	read_only	no	not_planned	no	read-only status/account route
public_gateway.py	206	POST	/system/pveso/boot	admin_system	infrastructure_write_confirmed	no	never_direct_router_execute	yes	guarded admin/system route
